北京卫视,#genre#
惊悚悬疑 4M1080,http://111.13.42.42/PLTV/88888888/224/3221226423/1.m3u8
明星大片 2.5M1080,http://221.179.136.150/PLTV/88888888/224/3221225929/1.m3u8
明星大片 2.5M1080,http://221.179.136.134/PLTV/88888888/224/3221226295/1.m3u8
明星大片 4M1080,http://221.179.136.134/PLTV/88888888/224/3221226425/1.m3u8
武搏世界 2.5M1080,http://221.179.136.150/PLTV/88888888/224/3221226171/1.m3u8
武搏世界 2.5M1080,http://221.179.136.134/PLTV/88888888/224/3221226297/1.m3u8
武搏世界 2.5M1080,http://221.179.136.141/PLTV/88888888/224/3221226320/1.m3u8
海外剧场 2.5M1080,http://221.179.136.150/PLTV/88888888/224/3221225917/1.m3u8
海外剧场 2.5M1080,http://221.179.136.139/PLTV/88888888/224/3221226302/1.m3u8
海外剧场 2.5M1080,http://221.179.136.141/PLTV/88888888/224/3221226325/1.m3u8
潮妈辣婆 4M1080,http://221.179.136.150/PLTV/88888888/224/3221225957/1.m3u8
潮妈辣婆 4M1080,http://221.179.136.139/PLTV/88888888/224/3221226286/1.m3u8
炫舞未来 4M1080,http://221.179.217.75/PLTV/88888888/224/3221226248/1.m3u8
爱情喜剧 2.5M1080,http://221.179.136.150/PLTV/88888888/224/3221225913/1.m3u8
爱情喜剧 2.5M1080,http://221.179.136.136/PLTV/88888888/224/3221226299/1.m3u8
爱情喜剧 2.5M1080,http://221.179.136.141/PLTV/88888888/224/3221226322/1.m3u8
精品体育 2.5M1080,http://221.179.136.136/PLTV/88888888/224/3221226287/1.m3u8
精品体育 2.5M1080,http://221.179.136.145/PLTV/88888888/224/3221226328/1.m3u8
精品体育 2M1080,http://221.179.136.150/PLTV/88888888/224/3221225922/1.m3u8
精品大剧 4M1080,http://221.179.136.150/PLTV/88888888/224/3221225925/1.m3u8
精品大剧 4M1080,http://221.179.136.136/PLTV/88888888/224/3221226291/1.m3u8
精品大剧 4M1080,http://221.179.136.144/PLTV/88888888/224/3221226331/1.m3u8
精品纪录 2.5M1080,http://221.179.136.136/PLTV/88888888/224/3221226293/1.m3u8
精品纪录 2.5M1080,http://111.13.42.11/PLTV/88888888/224/3221226332/1.m3u8
超级体育 2.5M1080,http://111.13.42.42/PLTV/88888888/224/3221226157/1.m3u8
超级体育 2.5M1080,http://111.13.42.42/PLTV/88888888/224/3221226158/1.m3u8
超级体育 4M1080,http://221.179.136.151/PLTV/88888888/224/3221226232/1.m3u8
超级体育 8M1080,http://221.179.136.144/PLTV/88888888/224/3221226348/1.m3u8
超级电影 2.5M1080,http://111.13.42.9/PLTV/88888888/224/3221226133/1.m3u8
超级电影 4M1080,http://221.179.136.151/PLTV/88888888/224/3221226233/1.m3u8
超级电影 8M1080,http://221.179.136.139/PLTV/88888888/224/3221226369/1.m3u8
超级电视剧 2.5M1080,http://221.179.217.69/PLTV/88888888/224/3221225864/1.m3u8
超级电视剧 4M1080,http://221.179.136.134/PLTV/88888888/224/3221226253/1.m3u8
超级电视剧 8M1080,http://221.179.136.148/PLTV/88888888/224/3221226368/1.m3u8
超级综艺 2.5M1080,http://111.13.42.11/PLTV/88888888/224/3221226127/1.m3u8
超级综艺 4M1080,http://221.179.136.151/PLTV/88888888/224/3221226231/1.m3u8
超级综艺 8M1080,http://111.13.42.11/PLTV/88888888/224/3221226370/1.m3u8
金牌综艺 4M1080,http://221.179.136.151/PLTV/88888888/224/3221225920/1.m3u8
金牌综艺_1 4M1080,http://221.179.136.136/PLTV/88888888/224/3221226296/1.m3u8
金牌综艺_2 4M1080,http://221.179.136.147/PLTV/88888888/224/3221226347/1.m3u8
咪咕,#genre#
咪咕4K_1 31M2160HDR,http://111.13.42.47/PLTV/88888888/224/3221226399/1.m3u8
咪咕4K_2 31M2160HDR,http://221.179.136.136/PLTV/88888888/224/3221226400/1.m3u8
咪咕_01 4M1080,http://111.13.42.11/PLTV/88888888/224/3221226374/1.m3u8
咪咕_02 4M1080,http://221.179.136.148/PLTV/88888888/224/3221226375/1.m3u8
咪咕_03 4M1080,http://221.179.136.147/PLTV/88888888/224/3221226377/1.m3u8
咪咕_04 4M1080,http://221.179.136.141/PLTV/88888888/224/3221226378/1.m3u8
咪咕_05 4M1080,http://221.179.136.136/PLTV/88888888/224/3221226379/1.m3u8
咪咕_06 4M1080,http://111.13.42.11/PLTV/88888888/224/3221226380/1.m3u8
咪咕_07 4M1080,http://221.179.136.148/PLTV/88888888/224/3221226381/1.m3u8
咪咕_08 4M1080,http://221.179.136.147/PLTV/88888888/224/3221226382/1.m3u8
咪咕_09 4M1080,http://221.179.136.139/PLTV/88888888/224/3221226394/1.m3u8
咪咕_10 4M1080,http://221.179.217.69/PLTV/88888888/224/3221226395/1.m3u8
咪咕_11 4M1080,http://221.179.136.144/PLTV/88888888/224/3221226396/1.m3u8
咪咕_12 4M1080,http://111.13.42.42/PLTV/88888888/224/3221226397/1.m3u8
咪咕_13 4M1080,http://111.13.42.42/PLTV/88888888/224/3221226398/1.m3u8
咪咕_14 4M1080,http://221.179.136.147/PLTV/88888888/224/3221226393/1.m3u8
咪咕_15 4M1080,http://221.179.136.136/PLTV/88888888/224/3221226392/1.m3u8
咪咕_16 4M1080,http://111.13.42.11/PLTV/88888888/224/3221226391/1.m3u8
咪咕_17 4M1080,http://221.179.217.76/PLTV/88888888/224/3221226390/1.m3u8
咪咕_18 4M1080,http://221.179.217.69/PLTV/88888888/224/3221226372/1.m3u8
咪咕_19 4M1080,http://221.179.217.76/PLTV/88888888/224/3221226373/1.m3u8
咪咕_20 4M1080,http://111.13.42.47/PLTV/88888888/224/3221226376/1.m3u8
咪咕_21 4M1080,http://221.179.136.142/PLTV/88888888/224/3221226383/1.m3u8
咪咕_22 4M1080,http://221.179.136.141/PLTV/88888888/224/3221226384/1.m3u8
购物,#genre#
北京家有购物 4M1080,http://221.179.217.69/PLTV/88888888/224/3221226429/1.m3u8
山西优购物 4M1080,http://221.179.217.76/PLTV/88888888/224/3221226386/1.m3u8
央广购物 4M1080,http://221.179.136.147/PLTV/88888888/224/3221226319/1.m3u8
央广购物 4M1080,http://221.179.136.136/PLTV/88888888/224/3221226363/1.m3u8
江苏好享购物 4M1080,http://221.179.136.148/PLTV/88888888/224/3221226312/1.m3u8
江苏好享购物 4M1080,http://111.13.42.11/PLTV/88888888/224/3221226344/1.m3u8
湖南快乐购 4M1080,http://111.13.42.9/PLTV/88888888/224/3221226341/1.m3u8
江西风尚购物 4M1080,http://221.179.136.151/PLTV/88888888/224/3221225911/1.m3u8
江西风尚购物 4M1080,http://221.179.136.139/PLTV/88888888/224/3221226305/1.m3u8
江西风尚购物 4M1080,http://111.13.42.11/PLTV/88888888/224/3221226342/1.m3u8
江苏好享购物 4M1080,http://221.179.136.148/PLTV/88888888/224/3221226313/1.m3u8
5GO美妆个护 4M1080,http://221.179.136.136/PLTV/88888888/224/3221226387/1.m3u8
5GO美妆个护 4M1080,http://221.179.136.148/PLTV/88888888/224/3221226389/1.m3u8
5GO服饰内衣 4M1080,http://221.179.136.147/PLTV/88888888/224/3221226388/1.m3u8
标清,#genre#
CCTV1 576,http://221.179.136.134/PLTV/88888888/224/3221226432/1.m3u8
CCTV1 720,http://221.179.136.144/PLTV/88888888/224/3221226338/1.m3u8
CCTV2 576,http://111.13.42.8/PLTV/88888888/224/3221225934/1.m3u8
CCTV2 576,http://221.179.217.75/PLTV/88888888/224/3221226457/1.m3u8
CCTV3 576,http://221.179.217.69/PLTV/88888888/224/3221226456/1.m3u8
CCTV4 576,http://221.179.136.151/PLTV/88888888/224/3221226156/1.m3u8
CCTV4 576,http://221.179.136.144/PLTV/88888888/224/3221226455/1.m3u8
CCTV5 576,http://221.179.136.151/PLTV/88888888/224/3221226454/1.m3u8
CCTV5 720,http://221.179.136.136/PLTV/88888888/224/3221226256/1.m3u8
CCTV5 720,http://221.179.136.136/PLTV/88888888/224/3221226257/1.m3u8
CCTV5 720,http://221.179.136.134/PLTV/88888888/224/3221226258/1.m3u8
CCTV5 720,http://221.179.136.136/PLTV/88888888/224/3221226259/1.m3u8
CCTV5 720,http://221.179.136.136/PLTV/88888888/224/3221226260/1.m3u8
CCTV5 720,http://221.179.136.134/PLTV/88888888/224/3221226261/1.m3u8
CCTV5 720,http://221.179.136.142/PLTV/88888888/224/3221226340/1.m3u8
CCTV5+ 720,http://111.13.42.8/PLTV/88888888/224/3221225938/1.m3u8
CCTV6 576,http://111.13.42.45/PLTV/88888888/224/3221226453/1.m3u8
CCTV7 576,http://111.13.42.8/PLTV/88888888/224/3221225863/1.m3u8
CCTV7 576,http://221.179.217.76/PLTV/88888888/224/3221226452/1.m3u8
CCTV8 576,http://111.13.42.9/PLTV/88888888/224/3221226451/1.m3u8
CCTV9 576,http://111.13.42.42/PLTV/88888888/224/3221226450/1.m3u8
CCTV9 720,http://111.13.42.8/PLTV/88888888/224/3221225865/1.m3u8
CCTV10 576,http://111.13.42.8/PLTV/88888888/224/3221225868/1.m3u8
CCTV10 576,http://221.179.136.136/PLTV/88888888/224/3221226449/1.m3u8
CCTV11 576,http://221.179.136.151/PLTV/88888888/224/3221225869/1.m3u8
CCTV11 576,http://221.179.136.144/PLTV/88888888/224/3221226448/1.m3u8
CCTV12 576,http://111.13.42.8/PLTV/88888888/224/3221225870/1.m3u8
CCTV12 576,http://111.13.42.45/PLTV/88888888/224/3221226447/1.m3u8
CCTV13 576,http://221.179.217.69/PLTV/88888888/224/3221226446/1.m3u8
CCTV13 720,http://221.179.136.151/PLTV/88888888/224/3221226159/1.m3u8
CCTV13 720,http://221.179.136.147/PLTV/88888888/224/3221226339/1.m3u8
CCTV14 576,http://111.13.42.8/PLTV/88888888/224/3221225872/1.m3u8
CCTV14 576,http://111.13.42.9/PLTV/88888888/224/3221226445/1.m3u8
CCTV14 720,http://111.13.42.8/PLTV/88888888/224/3221225928/1.m3u8
CCTV15 576,http://221.179.136.151/PLTV/88888888/224/3221225940/1.m3u8
CCTV15 576,http://221.179.136.136/PLTV/88888888/224/3221226444/1.m3u8
CCTV17 576,http://111.13.42.13/PLTV/88888888/224/3221226442/1.m3u8
CGTN_1 4M576,http://221.179.136.148/PLTV/88888888/224/3221226404/1.m3u8
CGTN_2 576,http://221.179.136.151/PLTV/88888888/224/3221225867/1.m3u8
CGTN_3 576,http://221.179.136.144/PLTV/88888888/224/3221226443/1.m3u8
CGTN纪录_1 4M576,http://111.13.42.10/PLTV/88888888/224/3221226403/1.m3u8
CGTN纪录_2 576,http://221.179.217.75/PLTV/88888888/224/3221225866/1.m3u8
中国教育1_1 4M576,http://111.13.42.9/PLTV/88888888/224/3221226417/1.m3u8
中国教育1_2 576,http://111.13.42.13/PLTV/88888888/224/3221226538/1.m3u8
中国教育1_3 576,http://221.179.136.151/PLTV/88888888/224/3221225905/1.m3u8
中国教育2 576,http://221.179.136.134/PLTV/88888888/224/3221226537/1.m3u8
中国教育4_1 576,http://221.179.136.146/PLTV/88888888/224/3221226362/1.m3u8
中国教育4_2 576,http://111.13.42.5/PLTV/88888888/224/3221226557/1.m3u8
东南卫视_1 576,http://111.13.42.45/PLTV/88888888/224/3221226517/1.m3u8
东南卫视_2 576,http://221.179.136.151/PLTV/88888888/224/3221225876/1.m3u8
东方卫视_1 576,http://111.13.42.45/PLTV/88888888/224/3221226519/1.m3u8
东方卫视_2 720,http://111.13.42.42/PLTV/88888888/224/3221226161/1.m3u8
云南卫视_1 4M576,http://111.13.42.9/PLTV/88888888/224/3221226424/1.m3u8
云南卫视_2 576,http://221.179.136.151/PLTV/88888888/224/3221225902/1.m3u8
云南卫视_3 576,http://111.13.42.10/PLTV/88888888/224/3221226543/1.m3u8
内蒙古卫视_1 4M576,http://221.179.136.136/PLTV/88888888/224/3221226415/1.m3u8
内蒙古卫视_2 576,http://221.179.136.135/PLTV/88888888/224/3221226530/1.m3u8
内蒙古卫视_3 576,http://221.179.136.151/PLTV/88888888/224/3221225891/1.m3u8
北京卫视_1 576,http://221.179.136.144/PLTV/88888888/224/3221226436/1.m3u8
北京卫视_2 720,http://111.13.42.42/PLTV/88888888/224/3221226160/1.m3u8
厦门卫视 576,http://221.179.136.151/PLTV/88888888/224/3221226542/1.m3u8
吉林卫视_1 4M576,http://221.179.136.149/PLTV/88888888/224/3221226426/1.m3u8
吉林卫视_2 576,http://221.179.136.136/PLTV/88888888/224/3221226533/1.m3u8
吉林卫视_3 576,http://221.179.136.151/PLTV/88888888/224/3221225886/1.m3u8
四川卫视_1 4M576,http://111.13.42.10/PLTV/88888888/224/3221226407/1.m3u8
四川卫视_2 576,http://221.179.136.151/PLTV/88888888/224/3221225898/1.m3u8
四川卫视 576,http://111.13.42.46/PLTV/88888888/224/3221226523/1.m3u8
天津卫视_1 576,http://221.179.136.144/PLTV/88888888/224/3221226489/1.m3u8
天津卫视_2 720,http://111.13.42.7/PLTV/88888888/224/3221225899/1.m3u8
宁夏卫视_1 4M576,http://221.179.217.75/PLTV/88888888/224/3221226413/1.m3u8
宁夏卫视_2 576,http://221.179.217.76/PLTV/88888888/224/3221226528/1.m3u8
宁夏卫视_3 576,http://221.179.136.150/PLTV/88888888/224/3221225892/1.m3u8
安徽卫视_1 576,http://111.13.42.7/PLTV/88888888/224/3221225873/1.m3u8
安徽卫视_2 576,http://221.179.136.145/PLTV/88888888/224/3221226490/1.m3u8
山东卫视 576,http://221.179.136.138/PLTV/88888888/224/3221226487/1.m3u8
山西卫视_1 4M576,http://221.179.136.143/PLTV/88888888/224/3221226410/1.m3u8
山西卫视_2 576,http://221.179.136.150/PLTV/88888888/224/3221225895/1.m3u8
山西卫视_3 576,http://111.13.42.12/PLTV/88888888/224/3221226531/1.m3u8
广东卫视 576,http://221.179.136.150/PLTV/88888888/224/3221226535/1.m3u8
广西卫视_1 4M576,http://111.13.42.13/PLTV/88888888/224/3221226408/1.m3u8
广西卫视_2 576,http://221.179.136.150/PLTV/88888888/224/3221225879/1.m3u8
广西卫视_3 576,http://221.179.217.76/PLTV/88888888/224/3221226534/1.m3u8
新疆卫视_1 576,http://111.13.42.13/PLTV/88888888/224/3221226422/1.m3u8
新疆卫视_2 576,http://221.179.136.150/PLTV/88888888/224/3221225901/1.m3u8
新疆卫视_3 576,http://221.179.136.150/PLTV/88888888/224/3221226546/1.m3u8
江苏卫视_1 576,http://221.179.136.146/PLTV/88888888/224/3221226491/1.m3u8
